Date;# bugs fixed;CL;UCL;LCL;;Media;9,878787879
2012-03;3;9,878787879;33,54847682;0;;Varianza;7,889896312
2012-06;2;9,878787879;33,54847682;0;;;
2012-07;6;9,878787879;33,54847682;0;;;
2012-08;12;9,878787879;33,54847682;0;;;
2012-09;15;9,878787879;33,54847682;0;;;
2012-10;22;9,878787879;33,54847682;0;;;
2012-11;12;9,878787879;33,54847682;0;;;
2012-12;7;9,878787879;33,54847682;0;;;
2013-01;6;9,878787879;33,54847682;0;;;
2013-02;21;9,878787879;33,54847682;0;;;
2013-03;23;9,878787879;33,54847682;0;;;
2013-04;22;9,878787879;33,54847682;0;;;
2013-05;40;9,878787879;33,54847682;0;;;
2013-06;14;9,878787879;33,54847682;0;;;
2013-07;8;9,878787879;33,54847682;0;;;
2013-08;14;9,878787879;33,54847682;0;;;
2013-09;16;9,878787879;33,54847682;0;;;
2013-10;10;9,878787879;33,54847682;0;;;
2014-01;1;9,878787879;33,54847682;0;;;
2014-02;1;9,878787879;33,54847682;0;;;
2014-03;3;9,878787879;33,54847682;0;;;
2014-05;10;9,878787879;33,54847682;0;;;
2014-06;1;9,878787879;33,54847682;0;;;
2014-07;2;9,878787879;33,54847682;0;;;
2014-08;4;9,878787879;33,54847682;0;;;
2014-09;2;9,878787879;33,54847682;0;;;
2014-10;1;9,878787879;33,54847682;0;;;
2014-11;30;9,878787879;33,54847682;0;;;
2014-12;21;9,878787879;33,54847682;0;;;
2015-01;38;9,878787879;33,54847682;0;;;
2015-02;5;9,878787879;33,54847682;0;;;
2015-03;8;9,878787879;33,54847682;0;;;
2015-04;7;9,878787879;33,54847682;0;;;
2015-05;20;9,878787879;33,54847682;0;;;
2015-06;13;9,878787879;33,54847682;0;;;
2015-07;5;9,878787879;33,54847682;0;;;
2015-08;5;9,878787879;33,54847682;0;;;
2015-09;1;9,878787879;33,54847682;0;;;
2015-10;1;9,878787879;33,54847682;0;;;
2016-02;1;9,878787879;33,54847682;0;;;
2016-03;1;9,878787879;33,54847682;0;;;
2016-04;1;9,878787879;33,54847682;0;;;
2016-05;9;9,878787879;33,54847682;0;;;
2016-06;16;9,878787879;33,54847682;0;;;
2016-07;14;9,878787879;33,54847682;0;;;
2016-08;4;9,878787879;33,54847682;0;;;
2016-09;28;9,878787879;33,54847682;0;;;
2016-10;6;9,878787879;33,54847682;0;;;
2016-11;11;9,878787879;33,54847682;0;;;
2016-12;10;9,878787879;33,54847682;0;;;
2017-01;9;9,878787879;33,54847682;0;;;
2017-02;6;9,878787879;33,54847682;0;;;
2017-03;5;9,878787879;33,54847682;0;;;
2017-04;7;9,878787879;33,54847682;0;;;
2017-05;8;9,878787879;33,54847682;0;;;
2017-06;7;9,878787879;33,54847682;0;;;
2017-07;19;9,878787879;33,54847682;0;;;
2017-08;20;9,878787879;33,54847682;0;;;
2017-09;1;9,878787879;33,54847682;0;;;
2017-11;6;9,878787879;33,54847682;0;;;
2017-12;3;9,878787879;33,54847682;0;;;
2018-01;12;9,878787879;33,54847682;0;;;
2018-02;14;9,878787879;33,54847682;0;;;
2018-03;9;9,878787879;33,54847682;0;;;
2018-04;1;9,878787879;33,54847682;0;;;
2018-05;5;9,878787879;33,54847682;0;;;
2018-07;3;9,878787879;33,54847682;0;;;
2018-08;22;9,878787879;33,54847682;0;;;
2018-09;11;9,878787879;33,54847682;0;;;
2018-10;6;9,878787879;33,54847682;0;;;
2018-11;12;9,878787879;33,54847682;0;;;
2018-12;11;9,878787879;33,54847682;0;;;
2019-01;17;9,878787879;33,54847682;0;;;
2019-02;10;9,878787879;33,54847682;0;;;
2019-03;14;9,878787879;33,54847682;0;;;
2019-04;3;9,878787879;33,54847682;0;;;
2019-05;18;9,878787879;33,54847682;0;;;
2019-06;22;9,878787879;33,54847682;0;;;
2019-07;9;9,878787879;33,54847682;0;;;
2019-09;3;9,878787879;33,54847682;0;;;
2019-10;11;9,878787879;33,54847682;0;;;
2019-11;5;9,878787879;33,54847682;0;;;
2019-12;7;9,878787879;33,54847682;0;;;
2020-01;7;9,878787879;33,54847682;0;;;
2020-02;1;9,878787879;33,54847682;0;;;
2020-03;12;9,878787879;33,54847682;0;;;
2020-04;12;9,878787879;33,54847682;0;;;
2020-05;3;9,878787879;33,54847682;0;;;
2020-06;15;9,878787879;33,54847682;0;;;
2020-07;3;9,878787879;33,54847682;0;;;
2020-08;10;9,878787879;33,54847682;0;;;
2020-09;6;9,878787879;33,54847682;0;;;
2020-10;14;9,878787879;33,54847682;0;;;
2020-11;8;9,878787879;33,54847682;0;;;
2020-12;8;9,878787879;33,54847682;0;;;
2021-01;12;9,878787879;33,54847682;0;;;
2021-02;11;9,878787879;33,54847682;0;;;
2021-03;4;9,878787879;33,54847682;0;;;
2021-04;3;9,878787879;33,54847682;0;;;
